Year,Global_MMR
1985,373.77357687626807
1986,360.8171836135539
1987,374.3101749349487
1988,353.56978275638465
1989,342.69052526686664
1990,338.19087876726667
1991,329.7111230592513
1992,336.8919254741179
1993,329.8369633010154
1994,311.9930871947795
1995,294.952601195082
1996,286.0568065936462
1997,276.1324212371487
1998,286.18471131813334
1999,249.85656096958974
2000,235.48370332143077
2001,226.13354576644613
2002,217.6993079234769
2003,208.69048973665642
2004,201.98752470355896
2005,197.63164535145128
2006,194.28285489786668
2007,193.06768470018463
2008,192.8063833860564
2009,191.2316989626359
2010,185.88523030596411
2011,179.05683190673332
2012,171.87414840295384
2013,165.49004991290258
2014,161.33263423504616
2015,155.7527471022205
2016,149.4556404792154
2017,144.8005063690718
2018,136.01510666524103
2019,134.64908298595384
2020,135.33494809093332
2021,151.74870651831796
2022,125.03110769881538
2023,116.62392039477436
